Major,Total - Bachelor,Total Males - Bachelor,Total Females - Bachelor,Total - Master,Total Males - Master,Total Females - Masters,Total Phd,Total Males - Phd,Total Females - Phd
Agriculture and natural resources ........................................................,30929,15453,15476,6390,3026,3364,1333,721,612
"  Agriculture, agriculture operations, and related sciences ....................................",16252,7867,8385,2586,1207,1379,748,411,337
"    Agriculture, general ........................................................................",1596,918,678,316,133,183,21,11,10
"    Agricultural business and management, general ...............................................",1018,684,334,60,33,27,0,0,0
    Agribusiness/agricultural business operations ...............................................,1452,1001,451,30,16,14,0,0,0
    Agricultural economics ......................................................................,1420,1026,394,432,252,180,147,95,52
    Farm/farm and ranch management ..............................................................,118,90,28,8,5,3,0,0,0
    Agricultural/farm supplies retailing and wholesaling ........................................,91,44,47,0,0,0,0,0,0
    Agricultural business technology ............................................................,11,8,3,0,0,0,0,0,0
"    Agricultural business and management, other .................................................",42,23,19,4,2,2,0,0,0
"    Agricultural mechanization, general .........................................................",273,252,21,0,0,0,0,0,0
"    Agricultural production operations, general .................................................",79,52,27,14,5,9,0,0,0
    Animal/livestock husbandry and production ...................................................,172,57,115,0,0,0,0,0,0
    Aquaculture .................................................................................,77,51,26,31,19,12,6,3,3
    Crop production .............................................................................,25,21,4,7,6,1,1,1,0
    Horse husbandry/equine science and management ...............................................,69,3,66,0,0,0,0,0,0
    Agroecology and sustainable agriculture ......................................................,27,14,13,19,8,11,3,2,1
Natural resources and conservation,88,45,43,6,4,2,0,0,0
    Agricultural and food products processing ...................................................,110,56,54,2,1,1,8,5,3
    Equestrian/equine studies ...................................................................,287,14,273,0,0,0,0,0,0
"    Agricultural and domestic animal services, other .........................................................",1,0,1,0,0,0,0,0,0
"    Applied horticulture/horticultural operations, general ......................................",164,91,73,16,4,12,4,1,3
    Ornamental horticulture .....................................................................,113,70,43,5,2,3,8,4,4
    Landscaping and groundskeeping ..............................................................,167,118,49,3,1,2,0,0,0
    Turf and turfgrass management ...............................................................,143,136,7,3,3,0,0,0,0
    Floriculture/floristry operations and management .........................................................,4,0,4,0,0,0,0,0,0
"    Applied horticulture/horticultural business services, other ..................................",23,20,3,0,0,0,0,0,0
    International agriculture ...................................................................,37,18,19,28,17,11,0,0,0
    Agricultural and extension education services ...............................................,40,19,21,63,30,33,5,2,3
    Agricultural communication/journalism .......................................................,351,101,250,32,7,25,0,0,0
"    Agricultural public services, other .......................................................",88,51,37,0,0,0,0,0,0
"    Animal sciences, general ....................................................................",4627,987,3640,382,128,254,129,69,60
    Agricultural animal breeding ................................................................,2,1,1,11,1,10,5,2,3
    Animal health ...............................................................................,0,0,0,8,0,8,0,0,0
    Animal nutrition ............................................................................,0,0,0,0,0,0,3,2,1
    Dairy science ...............................................................................,151,61,90,15,5,10,6,5,1
    Livestock management ........................................................................,20,4,16,1,0,1,3,1,2
    Poultry science .............................................................................,127,60,67,17,7,10,9,5,4
"    Animal sciences, other ......................................................................",67,16,51,3,2,1,0,0,0
    Food science ................................................................................,1141,369,772,351,101,250,125,48,77
    Food technology and processing ..............................................................,33,13,20,3,1,2,0,0,0
"    Food science and technology, other ..........................................................",0,0,0,35,10,25,3,1,2
"    Plant sciences, general .....................................................................",307,223,84,72,40,32,35,19,16
    Agronomy and crop science ...................................................................,481,364,117,194,147,47,79,51,28
    Horticultural science .......................................................................,582,340,242,98,48,50,41,22,19
    Agricultural and horticultural plant breeding ...............................................,2,1,1,37,21,16,16,9,7
    Plant protection and integrated pest management .............................................,39,23,16,15,10,5,6,6,0
    Range science and management ................................................................,106,74,32,45,26,19,7,3,4
"    Plant sciences, other .......................................................................",34,23,11,48,26,22,23,16,7
"    Soil science and agronomy, general ..........................................................",116,82,34,124,63,61,40,20,20
    Soil chemistry and physics .....................................................................,19,14,5,5,1,4,0,0,0
"    Soil sciences, other ........................................................................",39,21,18,12,7,5,8,2,6
"    Agriculture, agriculture operations, and related sciences, other ............................",273,208,65,31,15,16,7,6,1
, , , , , , , , , 
  Natural resources and conservation ..........................................................,14677,7586,7091,3804,1819,1985,585,310,275
"    Natural resources/conservation, general .....................................................",1427,782,645,587,233,354,80,36,44
    Environmental studies .......................................................................,5103,2315,2788,757,373,384,58,30,28
    Environmental science .......................................................................,4343,2122,2221,927,412,515,158,78,80
"    Natural resources conservation and research, other .....................................................",32,14,18,38,24,14,5,2,3
    Natural resources management and policy .....................................................,520,289,231,570,249,321,24,12,12
    Natural resource economics ..................................................................,56,33,23,7,2,5,10,4,6
"    Water, wetlands, and marine resources management ............................................",79,47,32,73,30,43,0,0,0
    Land use planning and management/development ................................................,47,32,15,77,51,26,8,6,2
    Natural resource recreation and tourism ......................................................,31,22,9,0,0,0,0,0,0
    Natural resources law enforcement and protective services ......................................................,29,24,5,0,0,0,0,0,0
"    Natural resources management and policy, other ..............................................",289,141,148,25,10,15,2,2,0
    Fishing and fisheries sciences and management ...............................................,319,174,145,68,38,30,32,18,14
"    Forestry, general ...........................................................................",537,412,125,307,169,138,61,32,29
    Forest sciences and biology .................................................................,161,135,26,103,70,33,51,36,15
    Forest management/forest resources management ...............................................,147,124,23,36,24,12,5,3,2
    Urban forestry ..............................................................................,18,9,9,2,0,2,5,3,2
    Wood science and wood products/pulp and paper technology ....................................,68,59,9,20,13,7,10,5,5
    Forest resources production and management ................................................................,6,6,0,19,12,7,7,3,4
    Forest technology/technician ................................................................,11,9,2,0,0,0,11,6,5
"    Forestry, other .............................................................................",69,61,8,26,14,12,10,2,8
    Wildlife and wildlands science and management ...............................................,1160,642,518,152,91,61,40,24,16
"    Natural resources and conservation, other ...................................................",225,134,91,10,4,6,8,8,0
, ,,, ,,, ,,
Architecture and related services ...........................................................,9728,5567,4161,8448,4504,3944,255,147,108
  Architecture ......................................................................,6040,3540,2500,4557,2667,1890,135,79,56
"  City/urban, community and regional planning .................................................",843,540,303,2441,1200,1241,82,44,38
  Environmental design/architecture ...........................................................,756,458,298,142,72,70,24,17,7
  Interior architecture .......................................................................,502,32,470,184,26,158,0,0,0
  Landscape architecture ..............................................................,1006,622,384,735,303,432,2,0,2
"  Architectural history and criticism, general ................................................",66,28,38,39,17,22,4,3,1
  Architectural technology/technician .........................................................,244,171,73,0,0,0,0,0,0
  Architectural and building sciences/technology ......................................................,93,63,30,71,45,26,0,0,0
"  Architectural sciences and technology, other .......................................",0,0,0,16,11,5,2,1,1
  Real estate development ............................................................................,0,0,0,146,120,26,0,0,0
"  Architecture and related services, other ....................................................",178,113,65,117,43,74,6,3,3
, ,,, ,,, ,,
"Area, ethnic, cultural, gender, and group studies ..................................................",9232,2757,6475,1947,717,1230,302,112,190
  African studies .............................................................................,66,25,41,42,16,26,5,3,2
  American/United States studies/civilization .................................................,1550,585,965,246,89,157,107,43,64
  Asian studies/civilization ..................................................................,770,331,439,104,50,54,4,1,3
  East Asian studies ..........................................................................,461,182,279,146,78,68,22,7,15
"  Russian, Central European, East European and Eurasian studies ......................................................",27,12,15,30,12,18,0,0,0
  European studies/civilization ...............................................................,154,45,109,36,10,26,0,0,0
  Latin American studies ......................................................................,518,171,347,273,105,168,2,1,1
  Near and Middle Eastern studies .............................................................,238,101,137,172,87,85,27,16,11
  Pacific Area/Pacific Rim studies ............................................................,6,1,5,6,3,3,0,0,0
  Russian studies .............................................................................,93,47,46,49,29,20,0,0,0
  Scandinavian studies ........................................................................,21,10,11,3,2,1,2,1,1
  South Asian studies .........................................................................,22,9,13,8,3,5,2,0,2
  Southeast Asian studies .....................................................................,4,4,0,17,9,8,0,0,0
  Western European studies ....................................................................,7,0,7,60,18,42,4,1,3
  Canadian studies ............................................................................,0,0,0,0,0,0,0,0,0
  Slavic studies ..............................................................................,4,1,3,3,2,1,0,0,0
  Ural-Altaic and Central Asian studies .......................................................,0,0,0,11,6,5,2,2,0
"  Regional studies (U.S., Canadian, foreign) ......................................................",44,14,30,26,6,20,6,2,4
  Chinese studies .............................................................................,59,20,39,18,11,7,0,0,0
  French studies ..............................................................................,64,12,52,4,1,3,6,3,3
  German studies ..............................................................................,59,28,31,8,5,3,1,0,1
  Italian studies .............................................................................,44,9,35,15,5,10,3,1,2
  Japanese studies ............................................................................,46,15,31,7,5,2,0,0,0
  Korean studies ............................................................................,0,0,0,4,4,0,0,0,0
  Spanish and Iberian studies .................................................................,11,4,7,0,0,0,0,0,0
  Irish studies .....................................................................,0,0,0,0,0,0,0,0,0
  Latin American and Caribbean studies ......................................................,52,9,43,6,3,3,0,0,0
"  Area studies, other .........................................................................",931,273,658,71,25,46,3,0,3
  Ethnic studies .....................................................................,178,52,126,10,4,6,8,6,2
  African-American/Black studies ..............................................................,781,255,526,94,33,61,17,7,10
  American Indian/Native American studies .....................................................,235,85,150,49,16,33,7,2,5
"  Hispanic-American, Puerto Rican, and Mexican-American/Chicano studies .......................",449,132,317,56,18,38,13,4,9
  Asian-American studies ......................................................................,139,54,85,20,9,11,0,0,0
  Women's studies .............................................................................,1490,70,1420,180,12,168,29,0,29
  Gay/lesbian studies .............................................................................,8,1,7,0,0,0,0,0,0
  Folklore studies .....................................................................,5,1,4,16,2,14,0,0,0
  Disability studies .....................................................................,0,0,0,37,7,30,6,3,3
"  Ethnic, cultural minority, gender, and group studies, other ........................................",696,199,497,120,32,88,26,9,17
, ,,, ,,, ,,
Biological and biomedical sciences ..........................................................,95849,39545,56304,12415,5378,7037,7935,3708,4227
"  Biology/biological sciences, general ........................................................",64611,25382,39229,3490,1458,2032,964,448,516
"  Biomedical sciences, general ................................................................",2340,937,1403,1025,503,522,401,175,226
  Biochemistry ................................................................................,6579,3429,3150,268,123,145,554,281,273
  Biophysics ..................................................................................,90,59,31,47,28,19,123,84,39
  Molecular biology ...........................................................................,627,293,334,196,90,106,213,83,130
  Molecular biochemistry ......................................................................,360,198,162,69,19,50,67,36,31
  Molecular biophysics ........................................................................,0,0,0,1,0,1,10,8,2
  Structural biology ..........................................................................,0,0,0,2,1,1,5,1,4
  Radiation biology/radiobiology ..............................................................,5,3,2,9,7,2,8,7,1
  Biochemistry and molecular biology ...............................................,696,348,348,71,37,34,132,76,56
"  Biochemistry, biophysics and molecular biology, other .......................................",216,95,121,3,1,2,20,11,9
  Botany/plant biology ........................................................................,179,84,95,95,43,52,119,46,73
  Plant pathology/phytopathology ..............................................................,12,4,8,67,28,39,80,45,35
  Plant physiology ............................................................................,0,0,0,2,1,1,11,5,6
  Plant molecular biology .....................................................................,0,0,0,1,1,0,10,6,4
"  Botany/plant biology, other .................................................................",20,9,11,10,2,8,7,3,4
  Cell/cellular biology and histology .........................................................,404,188,216,47,18,29,177,87,90
  Anatomy .....................................................................................,423,189,234,103,49,54,61,29,32
  Developmental biology and embryology ........................................................,41,22,19,28,10,18,25,13,12
  Cell/cellular and molecular biology .........................................................,2001,946,1055,206,70,136,440,228,212
  Cell biology and anatomy ....................................................................,10,3,7,10,3,7,30,12,18
"  Cell/cellular biology and anatomical sciences, other ........................................",86,49,37,121,50,71,129,66,63
"  Microbiology, general .......................................................................",1658,780,878,170,71,99,231,108,123
  Medical microbiology and bacteriology .......................................................,628,263,365,135,43,92,176,62,114
  Virology ....................................................................................,0,0,0,0,0,0,18,5,13
  Parasitology ................................................................................,0,0,0,3,0,3,1,0,1
  Immunology ..................................................................................,0,0,0,23,11,12,137,59,78
  Microbiology and immunology ....................................................................,112,53,59,31,12,19,49,25,24
"  Microbiological sciences and immunology, other ..............................................",134,65,69,33,11,22,75,37,38
  Zoology/animal biology ......................................................................,1628,580,1048,133,42,91,92,42,50
  Entomology ..................................................................................,108,56,52,120,54,66,118,65,53
  Animal physiology ...........................................................................,68,32,36,74,29,45,41,21,20
  Animal behavior and ethology ................................................................,47,8,39,5,1,4,5,1,4
  Wildlife biology ............................................................................,318,160,158,10,5,5,2,2,0
"  Zoology/animal biology, other ...............................................................",5,0,5,4,4,0,0,0,0
"  Genetics, general ...........................................................................",229,99,130,68,22,46,157,68,89
  Molecular genetics ..........................................................................,197,75,122,18,8,10,88,29,59
  Animal genetics .............................................................................,25,5,20,21,10,11,32,8,24
  Plant genetics ..............................................................................,4,2,2,7,6,1,9,5,4
  Human/medical genetics ......................................................................,7,0,7,97,11,86,71,43,28
  Genome sciences/genomics ......................................................................,19,9,10,3,1,2,1,0,1
"  Genetics, other .............................................................................",0,0,0,3,2,1,13,8,5
"  Physiology, general .........................................................................",1350,610,740,419,234,185,196,93,103
  Molecular physiology ........................................................................,0,0,0,10,6,4,26,12,14
  Cell physiology .............................................................................,0,0,0,4,1,3,23,12,11
  Endocrinology ...............................................................................,0,0,0,3,2,1,2,1,1
  Reproductive biology ........................................................................,0,0,0,5,2,3,5,0,5
